FeatureID	Kingdom	Phylum	Class	Order	Family	Genus
Otu002154	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu002155	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002156	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002157	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002158	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002159	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002160	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002161	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002162	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002163	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002164	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002165	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu002166	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002167	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002168	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002169	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified
Otu0021	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002171	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Cardiobacterium
Otu002172	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	unclassified
Otu002173	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	unclassified
Otu002174	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002175	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella
Otu002176	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified
Otu002177	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002178	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella
Otu002179	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002180	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
Otu002181	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002182	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002183	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus
Otu002184	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV
Otu002185	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified
Otu002186	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002187	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002188	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002189	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002190	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
Otu002191	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Otu002192	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unclassified
Otu002193	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa
Otu002194	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002195	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu002196	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
Otu002197	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu002198	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Olsenella
Otu002199	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
Otu002200	Bacteria	Firmicutes	Clostridia	Clostridiales	Syntrophomonadaceae	Syntrophomonas
Otu002201	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Otu002202	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	unclassified
Otu002203	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu002204	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002205	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002206	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002207	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified
Otu002208	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002209	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002210	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified
Otu002211	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002212	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Otu002213	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002214	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu002215	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
Otu002216	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinobaculum
Otu002217	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XIII	Anaerovorax
Otu002218	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified
Otu002219	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002220	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV
Otu002221	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
Otu002222	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella
Otu002223	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu002224	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu002225	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002226	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto
Otu002227	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu002228	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified
Otu002229	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002230	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
Otu002231	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002232	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella
Otu002233	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002234	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002235	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
Otu002236	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
Otu002237	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002238	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVb
Otu002239	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002240	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
Otu002241	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002242	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
Otu002243	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
